split,condition,metric,mean,std,count
ChemicalID,abstain,clean,0.27666666666666667,0.25482019804821854,3
ChemicalID,abstain,counterfactual,0.25666666666666665,0.2294195574342635,3
ChemicalID,abstain,distractor_5,0.7966666666666667,0.1855622087962238,3
ChemicalID,abstain,hard_no_path,1.0,0.0,3
ChemicalID,abstain,lexical_no_path,0.9500000000000001,0.045825756949558365,3
ChemicalID,base,clean,0.049999999999999996,0.017320508075688773,3
ChemicalID,base,counterfactual,0.07333333333333333,0.03511884584284246,3
ChemicalID,base,distractor_5,0.04666666666666667,0.005773502691896259,3
ChemicalID,base,hard_no_path,0.9966666666666667,0.0057735026918962545,3
ChemicalID,base,lexical_no_path,0.9933333333333333,0.0057735026918962545,3
ChemicalID,oracle,clean,1.0,0.0,3
ChemicalID,oracle,counterfactual,1.0,0.0,3
ChemicalID,oracle,distractor_5,1.0,0.0,3
ChemicalID,oracle,hard_no_path,1.0,0.0,3
ChemicalID,oracle,lexical_no_path,1.0,0.0,3
ChemicalID,robust,clean,0.6566666666666666,0.28023799409311606,3
ChemicalID,robust,counterfactual,0.62,0.21999999999999997,3
ChemicalID,robust,distractor_5,0.98,0.020000000000000018,3
ChemicalID,robust,hard_no_path,0.0,0.0,3
ChemicalID,robust,lexical_no_path,0.0,0.0,3
ChemicalID,vanilla,clean,0.6833333333333332,0.4619884558442271,3
ChemicalID,vanilla,counterfactual,0.6666666666666666,0.46479386111838156,3
ChemicalID,vanilla,distractor_5,0.98,0.020000000000000018,3
ChemicalID,vanilla,hard_no_path,0.0,0.0,3
ChemicalID,vanilla,lexical_no_path,0.0,0.0,3
DiseaseID,abstain,clean,0.33,0.2455605831561735,3
DiseaseID,abstain,counterfactual,0.24333333333333332,0.23437861108329264,3
DiseaseID,abstain,distractor_5,0.7400000000000001,0.24269322199023194,3
DiseaseID,abstain,hard_no_path,1.0,0.0,3
DiseaseID,abstain,lexical_no_path,0.9833333333333334,0.020816659994661358,3
DiseaseID,base,clean,0.04,0.04,3
DiseaseID,base,counterfactual,0.05333333333333334,0.011547005383792512,3
DiseaseID,base,distractor_5,0.049999999999999996,0.026457513110645908,3
DiseaseID,base,hard_no_path,1.0,0.0,3
DiseaseID,base,lexical_no_path,1.0,0.0,3
DiseaseID,oracle,clean,1.0,0.0,3
DiseaseID,oracle,counterfactual,1.0,0.0,3
DiseaseID,oracle,distractor_5,1.0,0.0,3
DiseaseID,oracle,hard_no_path,1.0,0.0,3
DiseaseID,oracle,lexical_no_path,1.0,0.0,3
DiseaseID,robust,clean,0.7233333333333333,0.11015141094572203,3
DiseaseID,robust,counterfactual,0.66,0.13999999999999999,3
DiseaseID,robust,distractor_5,0.98,0.020000000000000018,3
DiseaseID,robust,hard_no_path,0.016666666666666666,0.02886751345948129,3
DiseaseID,robust,lexical_no_path,0.01,0.017320508075688773,3
DiseaseID,vanilla,clean,0.9133333333333334,0.10969655114602886,3
DiseaseID,vanilla,counterfactual,0.96,0.034641016151377574,3
DiseaseID,vanilla,distractor_5,0.9733333333333333,0.02081665999466135,3
DiseaseID,vanilla,hard_no_path,0.0,0.0,3
DiseaseID,vanilla,lexical_no_path,0.0,0.0,3
GeneID,abstain,clean,0.24333333333333332,0.29160475533388225,3
GeneID,abstain,counterfactual,0.2966666666666667,0.306648550189518,3
GeneID,abstain,distractor_5,0.7366666666666667,0.37166292972710274,3
GeneID,abstain,hard_no_path,1.0,0.0,3
GeneID,abstain,lexical_no_path,0.9700000000000001,0.030000000000000027,3
GeneID,base,clean,0.07,0.034641016151377546,3
GeneID,base,counterfactual,0.06333333333333334,0.015275252316519468,3
GeneID,base,distractor_5,0.06,0.03605551275463988,3
GeneID,base,hard_no_path,1.0,0.0,3
GeneID,base,lexical_no_path,1.0,0.0,3
GeneID,oracle,clean,1.0,0.0,3
GeneID,oracle,counterfactual,1.0,0.0,3
GeneID,oracle,distractor_5,1.0,0.0,3
GeneID,oracle,hard_no_path,1.0,0.0,3
GeneID,oracle,lexical_no_path,1.0,0.0,3
GeneID,robust,clean,0.7799999999999999,0.30315012782448236,3
GeneID,robust,counterfactual,0.73,0.285832118559129,3
GeneID,robust,distractor_5,0.9899999999999999,0.010000000000000009,3
GeneID,robust,hard_no_path,0.0,0.0,3
GeneID,robust,lexical_no_path,0.0,0.0,3
GeneID,vanilla,clean,0.6866666666666666,0.4303874223688854,3
GeneID,vanilla,counterfactual,0.6266666666666666,0.41404508611180657,3
GeneID,vanilla,distractor_5,0.9833333333333334,0.02081665999466135,3
GeneID,vanilla,hard_no_path,0.0,0.0,3
GeneID,vanilla,lexical_no_path,0.0033333333333333335,0.005773502691896258,3
